category,omics,timepoint,ontology,experiment_id,term_id,term_name,expected_direction,up_signed_score,down_signed_score,up_contribution,down_contribution,max_abs_contribution,contributing_cluster
axenic_dying,Prot,day 14,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,cyanorak.role:D.1,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification,up,-0.0,-0.3935748941425105,0.0,0.0,0.0,-
axenic_dying,Prot,day 14,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,cyanorak.role:E.4,Central intermediary metabolism > Nitrogen metabolism,up,3.506541410456211,0.0,3.506541410456211,0.0,3.506541410456211,UP
axenic_dying,Prot,day 14,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,cyanorak.role:J.1,Photosynthesis and respiration > ATP synthase,down,-0.0,0.0,0.0,0.0,0.0,-
axenic_dying,Prot,day 14,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,cyanorak.role:J.2,Photosynthesis and respiration > CO2 fixation,down,-0.0,0.0,0.0,0.0,0.0,-
axenic_dying,Prot,day 14,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,cyanorak.role:J.7,Photosynthesis and respiration > Photosystem I,down,-0.0,0.0,0.0,0.0,0.0,-
axenic_dying,Prot,day 14,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,cyanorak.role:J.8,Photosynthesis and respiration > Photosystem II,down,-0.0,0.0,0.0,0.0,0.0,-
axenic_dying,Prot,day 14,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,cyanorak.role:K.2,Protein synthesis > Ribosomal proteins: synthesis and modification,down,-0.0,-1.9098147015693452,0.0,1.9098147015693452,1.9098147015693452,DOWN
axenic_dying,Prot,day 14,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,kegg.pathway:ko00190,Oxidative phosphorylation,down,-0.0,0.0,0.0,0.0,0.0,-
axenic_dying,Prot,day 14,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,kegg.pathway:ko00195,Photosynthesis,down,-0.0,0.0,0.0,0.0,0.0,-
axenic_dying,Prot,day 14,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,kegg.pathway:ko00710,Carbon fixation by Calvin cycle,down,-0.0,0.0,0.0,0.0,0.0,-
axenic_dying,Prot,day 14,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,kegg.pathway:ko00910,Nitrogen metabolism,up,3.139674580397364,0.0,3.139674580397364,0.0,3.139674580397364,UP
axenic_dying,Prot,day 14,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,kegg.pathway:ko01200,Carbon metabolism,down,-0.0,0.0,0.0,0.0,0.0,-
