locus_tag,term_id,term_name,level,ontology_type,tree,tree_code
PMM0030,tigr.role:856,Not Found,0,tigr_role,,
PMM0075,cog.category:S,Function unknown,0,cog_category,,
PMM0075,cyanorak.role:P.5,Transcription > Other,1,cyanorak_role,,
PMM0075,go:0006353,DNA-templated transcription termination,7,go_bp,,
PMM0075,kegg.orthology:K09942,K09942; uncharacterized protein,3,kegg,,
PMM0075,pfam:PF07498,"Rho termination factor, N-terminal domain",1,pfam,,
PMM0075,pfam:PF16258,Domain of unknown function (DUF4912),1,pfam,,
PMM0075,tigr.role:133,Transcription / Other,0,tigr_role,,
PMM0086,cog.category:S,Function unknown,0,cog_category,,
PMM0086,pfam:PF07878,"CopG-like RHH_1 or ribbon-helix-helix domain, RHH_5",1,pfam,,
PMM0086,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0087,cog.category:S,Function unknown,0,cog_category,,
PMM0087,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0087,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0088,cog.category:S,Function unknown,0,cog_category,,
PMM0088,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0099,cog.category:S,Function unknown,0,cog_category,,
PMM0099,cyanorak.role:D.1.9,Cellular processes > Adaptation/acclimation to atypical conditions and detoxification > Other,2,cyanorak_role,,
PMM0099,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0099,pfam:PF11318,Protein of unknown function (DUF3120),1,pfam,,
PMM0099,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0210,cog.category:S,Function unknown,0,cog_category,,
PMM0210,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0237,cog.category:M,Cell wall/membrane/envelope biogenesis,0,cog_category,,
PMM0237,pfam:PF07444,Ycf66 protein N-terminus,1,pfam,,
PMM0247,cog.category:S,Function unknown,0,cog_category,,
PMM0247,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0247,pfam:PF11283,Protein of unknown function (DUF3084),1,pfam,,
PMM0247,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0268,cog.category:S,Function unknown,0,cog_category,,
PMM0268,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0268,pfam:PF11352,Protein of unknown function (DUF3155),1,pfam,,
PMM0268,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0309,cog.category:S,Function unknown,0,cog_category,,
PMM0309,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0309,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0334,cog.category:S,Function unknown,0,cog_category,,
PMM0334,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0334,pfam:PF11302,Protein of unknown function (DUF3104),1,pfam,,
PMM0334,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0337,cog.category:S,Function unknown,0,cog_category,,
PMM0337,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0338,cog.category:S,Function unknown,0,cog_category,,
PMM0338,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0338,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
PMM0347,cog.category:S,Function unknown,0,cog_category,,
PMM0347,cyanorak.role:R.2,Other > Conserved hypothetical proteins,1,cyanorak_role,,
PMM0347,go:0016020,membrane,2,go_cc,,
PMM0347,tigr.role:156,Hypothetical proteins / Conserved,0,tigr_role,,
