cluster_id,cluster_name,cluster_type,analysis_name,member_count,n_candidates,cluster_functional_description,cluster_expression_dynamics,cluster_temporal_pattern,candidate_share_of_cluster
cluster:1471-2180-14-11:med4_expression_level:VEG,Prochlorococcus MED4 cluster VEG (variably expressed),condition_comparison,MED4 gene expression level classification,1073,72,N/A,N/A,N/A,0.067
cluster:msb4100087:med4_kmeans_nstarvation:4,Prochlorococcus MED4 cluster 4 (86 genes),time_course,MED4 K-means N-starvation clusters,86,20,"Enriched for amino acid synthesis genes and genes involved in carbon metabolism such as zwf, tal, and acnB. Includes genes for the oxidative pentose phosphate pathway and 2-oxoglutarate synthesis.",gradual increase,"Upregulated during nitrogen starvation, with genes involved in carbon metabolism and amino acid synthesis showing increased expression.",0.233
cluster:1471-2180-14-11:med4_expression_level:MEG,Prochlorococcus MED4 cluster MEG (moderately expressed),condition_comparison,MED4 gene expression level classification,444,17,Enriched for essential genes with homologs in the Database of Essential Genes (DEG).,moderate across all,Genes in this cluster show moderate expression levels across conditions.,0.038
cluster:1471-2180-14-11:med4_expression_level:HEG,Prochlorococcus MED4 cluster HEG (highly expressed),condition_comparison,MED4 gene expression level classification,290,15,"Enriched for genes involved in energy production and conversion, translation and ribosomal structure, and protein modification, folding and turnover. Includes ribosomal proteins and photosynthetic apparatus genes.",high across all,Genes in this cluster are consistently highly expressed across multiple growth conditions.,0.052
cluster:journal.pone.0005135:med4_diel_clusters:18,Prochlorococcus cluster 18 (menaquinone and ubiquinone),diel,MED4 diel cycling expression clusters,180,14,"Enriched for menaquinone and ubiquinone genes (6/9 genes, p=0.00045).",N/A,Non-expressed gene cluster per Table 1 classification.,0.078
cluster:journal.pone.0005135:med4_diel_clusters:7,Prochlorococcus cluster 7 (nitrogen metabolism),diel,MED4 diel cycling expression clusters,121,12,"Enriched for nitrogen metabolism genes (4/8 genes, p=0.087).",peaks night,Genes peak in expression near 20.1 hours after onset of dark with 24h periodicity.,0.099
cluster:journal.pone.0005135:med4_diel_clusters:6,Prochlorococcus cluster 6 (purine ribonucleotide biosynthesis),diel,MED4 diel cycling expression clusters,137,10,"Enriched for purine ribonucleotide biosynthesis genes (7/18 genes, p=0.0049).",peaks early night,Genes peak in expression near 18.6 hours after onset of dark with 24h periodicity.,0.073
cluster:journal.pone.0005135:med4_diel_clusters:17,Prochlorococcus cluster 17,diel,MED4 diel cycling expression clusters,136,9,N/A,N/A,N/A,0.066
cluster:nature06130:med4_phage_transcription_groups:2,MED4 cluster 2 (late sustained),time_course,MED4 phage-upregulated transcription groups,25,8,"Includes genes involved in RNA degradation and modification such as rne, rnhB, dus, and sun; protein turnover genes clpS and an AAA ATPase family gene; stress response genes umuD and phoH; and genes of unknown function.",late sustained,Upregulated starting approximately 2 hours after infection and sustained through later time points.,0.32
cluster:msb4100087:med4_kmeans_nstarvation:5,Prochlorococcus MED4 cluster 5 (73 genes),time_course,MED4 K-means N-starvation clusters,73,7,"Contains two rpoD-like sigma factors that are upregulated during nitrogen stress, indicating transcriptional regulation. Also contains icd (per Table III).",early transient,"Upregulated during nitrogen starvation, with sigma factors mediating gene expression changes.",0.096
