seed,pool,homolog_organism,homolog_genus,tier,in_cyanorak,identity,coverage,title,meta,doi,pmcid,pmid,year
NATL1_02111,pro,Prochlorococcus marinus str. NATL1A,Prochlorococcus,cyano,True,100,100,Acclimation and stress response of Prochlorococcus to low salinity,"He, Frontiers in microbiology 2022",,PMC9606707,,2022
NATL1_02111,pro,Dolichospermum sp. UHCC 0315A,Dolichospermum,cyano,False,29,89,Insight into the genome and brackish water adaptation strategies of toxic and bloom-forming Baltic Sea Dolichospermum sp. UHCC 0315,"Teikari, Scientific reports 2019",,PMC6426976,,2019
NATL1_02111,pro,Synechocystis sp. PCC 6803,Synechocystis,cyano,False,34,43,Ethylene causes transcriptomic changes in Synechocystis during phototaxis,"Lacey, Plant direct 2018",,PMC6508509,,2018
NATL1_02111,pro,Synechocystis sp. PCC 6803,Synechocystis,cyano,False,34,43,"Essentiality of threonylcarbamoyladenosine (t(6)A), a universal tRNA modification, in bacteria","Thiaville, Molecular microbiology 2015",,PMC4963248,,2015
PMM1028,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,100,100,Identification of cyanobacterial non-coding RNAs by comparative genome analysis,"Axmann, Genome biology 2005",,PMC1242208,,2005
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,100,100,The challenge of regulation in a minimal photoautotroph: non-coding RNAs in Prochlorococcus,"Steglich, PLoS genetics 2008",,PMC2518516,,2008
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,100,100,The challenge of regulation in a minimal photoautotroph: non-coding RNAs in Prochlorococcus,"Steglich, PLoS genetics 2008",,PMC2518516,,2008
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,100,100,Genome-wide analysis of light sensing in Prochlorococcus,"Steglich, Journal of bacteriology 2006",,PMC1636322,,2006
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,91,99,Frequency of mispackaging of Prochlorococcus DNA by cyanophage,"Laurenceau, The ISME journal 2021",,PMC7852597,,2021
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,91,99,Frequency of mispackaging of Prochlorococcus DNA by cyanophage,"Laurenceau, The ISME journal 2021",,PMC7852597,,2021
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,91,99,Deductive biocomputing,"Shrager, PloS one 2007",,PMC1838522,,2007
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,91,99,Genome-wide analysis of light sensing in Prochlorococcus,"Steglich, Journal of bacteriology 2006",,PMC1636322,,2006
PMM1135,pro,Synechococcus sp. WH 8102,Synechococcus,cyano,True,47,69,Computational prediction of Pho regulons in cyanobacteria,"Su, BMC genomics 2007",,PMC1906773,,2007
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,57,62,Genome-wide analysis of light sensing in Prochlorococcus,"Steglich, Journal of bacteriology 2006",,PMC1636322,,2006
PMM1135,pro,Synechococcus sp. CC9605,Synechococcus,cyano,True,45,70,Computational prediction of Pho regulons in cyanobacteria,"Su, BMC genomics 2007",,PMC1906773,,2007
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,79,43,Genome-wide analysis of light sensing in Prochlorococcus,"Steglich, Journal of bacteriology 2006",,PMC1636322,,2006
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,72,34,Genome-wide analysis of light sensing in Prochlorococcus,"Steglich, Journal of bacteriology 2006",,PMC1636322,,2006
PMM1135,pro,Cyanothece sp. ATCC 51142,Cyanothece,cyano,False,42,68,Diurnal rhythms result in significant changes in the cellular protein complement in the cyanobacterium Cyanothece 51142,"Stöckel, PloS one 2011",,PMC3043056,,2011
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,72,47,ProPortal: a resource for integrated systems biology of Prochlorococcus and its phage,"Kelly, Nucleic acids research 2012",,PMC3245167,,2012
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,72,47,Genome-wide analysis of light sensing in Prochlorococcus,"Steglich, Journal of bacteriology 2006",,PMC1636322,,2006
PMM1135,pro,Cyanothece sp. ATCC 51142,Cyanothece,cyano,False,42,89,Diurnal rhythms result in significant changes in the cellular protein complement in the cyanobacterium Cyanothece 51142,"Stöckel, PloS one 2011",,PMC3043056,,2011
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,64,49,The transcriptome landscape of Prochlorococcus MED4 and the factors for stabilizing the core genome,"Wang, BMC microbiology 2014",,PMC3898218,,2014
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,64,49,ProPortal: a resource for integrated systems biology of Prochlorococcus and its phage,"Kelly, Nucleic acids research 2012",,PMC3245167,,2012
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,64,49,Global gene expression of Prochlorococcus ecotypes in response to changes in nitrogen availability,"Tolonen, Molecular systems biology 2006",,PMC1682016,,2006
PMM1135,pro,Prochlorococcus marinus str. MIT 9313,Prochlorococcus,cyano,True,44,66,Global gene expression of Prochlorococcus ecotypes in response to changes in nitrogen availability,"Tolonen, Molecular systems biology 2006",,PMC1682016,,2006
PMM1135,pro,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),Synechococcus,cyano,False,43,82,Dynamic Changes in the Thylakoid Proteome of Cyanobacteria during Light-Regulated Thylakoid Membrane Development,"Huang, Plants (Basel, Switzerland) 2023",,PMC10708155,,2023
PMM1135,pro,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),Synechococcus,cyano,False,43,82,Pseudomonas putida as saviour for troubled Synechococcus elongatus in a synthetic co-culture - interaction studies based on a multi-OMICs approach,"Kratzl, Communications biology 2024",,PMC11014904,,2024
PMM1135,pro,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805) (Anacystis nidulans R2),Synechococcus,cyano,False,43,82,RNA-Seq analysis and targeted mutagenesis for improved free fatty acid production in an engineered cyanobacterium,"Ruffing, Biotechnology for biofuels 2013",,PMC3750487,,2013
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,72,47,The transcriptome landscape of Prochlorococcus MED4 and the factors for stabilizing the core genome,"Wang, BMC microbiology 2014",,PMC3898218,,2014
PMM1135,pro,Prochlorococcus marinus sp. MED4,Prochlorococcus,cyano,True,72,47,Ultraviolet stress delays chromosome replication in light/dark synchronized cells of the marine cyanobacterium Prochlorococcus marinus PCC9511,"Kolowrat, BMC microbiology 2010",,PMC2921402,,2010
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,50,77,Impact of SliP4 deletion on the high-light acclimation in Synechocystis sp. PCC 6803,"Alvarenga-Lucius, microLife 2026",,PMC12850537,,2026
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,50,77,Glucose Uncouples Nitrogen Sensing From Chlorosis via a Photosynthetic Checkpoint in Synechocystis sp. PCC 6803,"Ortega-Martínez, Physiologia plantarum 2025",,PMC12638213,,2025
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,50,77,Sll1252 Coordinates Electron Transport between Plastoquinone and Cytochrome b6/f Complex in Synechocystis PCC 6803,"Balaga, Genes 2023",,PMC10743179,,2023
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,50,77,Regulation of RNase E during the UV stress response in the cyanobacterium Synechocystis sp. PCC 6803,"Watanabe, mLife 2023",,PMC10989929,,2023
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,50,77,Tandem gene amplification restores photosystem II accumulation in cytochrome b559 mutants of cyanobacteria,"Chiu, The New phytologist 2022",,PMC9297868,,2022
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,50,77,Advances in the Understanding of the Lifecycle of Photosystem II,"Johnson, Microorganisms 2022",,PMC9145668,,2022
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,50,77,Identification of the key functional genes in salt-stress tolerance of Cyanobacterium Phormidium tenue using in silico analysis,"Shahbazi, 3 Biotech 2021",,PMC8602552,,2021
PMM1135,pro,Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa),Synechocystis,cyano,False,50,77,The role of transcriptional repressor activity of LexA in salt-stress responses of the cyanobacterium Synechocystis sp. PCC 6803,"Takashima, Scientific reports 2020",,PMC7567884,,2020
