priority,in_cyanorak,kind,kg_fit_score,n_seeds,seeds,pools,best_identity,year,title,doi,pmcid,pmid,homolog_genera,meta
3,False,omics,3,1,DEH24_14130,alt,77,2020,"Pseudomonas syringae AlgU Downregulates Flagellin Gene Expression, Helping Evade Plant Immunity",10.1128/jb.00418-19,PMC6989796,,Pseudomonas,"Bao, Journal of bacteriology 2020"
3,False,omics,3,1,EZ55_01060,alt,64,2006,Transcriptome profiling of Shewanella oneidensis gene expression following exposure to acidic and alkaline pH,10.1128/jb.188.4.1633-1642.2006,PMC1367224,,Shewanella,"Leaphart, Journal of bacteriology 2006"
3,False,comparative_genomics,2,1,DEH24_14130,alt,80,2022,Genomic Analysis of Two Representative Strains of Shewanella putrefaciens Isolated from Bigeye Tuna: Biofilm and Spoilage-Associated Behavior,10.3390/foods11091261,PMC9100107,,Shewanella,"Yi, Foods (Basel, Switzerland) 2022"
3,False,comparative_genomics,2,1,DEH24_02300,alt,69,2019,Reconciling high-throughput gene essentiality data with metabolic network reconstructions,10.1371/journal.pcbi.1006507,PMC6478342,,Pseudomonas,"Blazier, PLoS computational biology 2019"
3,False,comparative_genomics,2,1,EZ55_01060,alt,52,2008,Probing regulon of ArcA in Shewanella oneidensis MR-1 by integrated genomic analyses,10.1186/1471-2164-9-42,PMC2262068,,Shewanella,"Gao, BMC genomics 2008"
3,False,comparative_genomics,2,1,DEH24_02300,alt,50,2014,An Updated genome annotation for the model marine bacterium Ruegeria pomeroyi DSS-3,10.1186/1944-3277-9-11,PMC4334477,,Ruegeria,"Rivers, Standards in genomic sciences 2014"
3,False,other,1,1,DEH24_14130,alt,80,2005,Transcriptome analysis of Shewanella oneidensis MR-1 in response to elevated salt conditions,10.1128/jb.187.7.2501-2507.2005,PMC1065217,,Shewanella,"Liu, Journal of bacteriology 2005"
3,False,other,1,1,DEH24_14130,alt,80,2006,Global transcriptome analysis of the cold shock response of Shewanella oneidensis MR-1 and mutational analysis of its classical cold shock proteins,10.1128/jb.01908-05,PMC1482949,,Shewanella,"Gao, Journal of bacteriology 2006"
3,False,other,1,1,DEH24_14130,alt,80,2022,Defining Two Chemosensory Arrays in Shewanella oneidensis,10.3390/biom13010021,PMC9855816,,Shewanella,"Fortier, Biomolecules 2022"
3,False,other,1,1,DEH24_02300,alt,79,2016,The Structure of a Thermophilic Kinase Shapes Fitness upon Random Circular Permutation.,10.1021/acssynbio.5b00305,PMC5122316,,Pseudomonas;Shewanella,"Jones, ACS synthetic biology 2016"
3,False,other,1,1,DEH24_14130,alt,79,2020,Comparative Genomics Reveals Pathogenicity-Related Loci in Shewanella algae,10.1155/2020/9205197,PMC7149415,,Shewanella,"Wang, The Canadian journal of infectious diseases & medical microbiology = Journal canadien des maladies infectieuses et"
3,False,other,1,1,DEH24_14130,alt,77,2024,Microbiome mapping in dairy industry reveals new species and genes for probiotic and bioprotective activities,10.1038/s41522-024-00541-5,PMC11297241,,Pseudomonas,"De, NPJ biofilms and microbiomes 2024"
3,False,other,1,1,DEH24_14130,alt,77,2024,"Molecular Characterization of Pseudomonas aeruginosa Clinical Isolates Through Whole-Genome Sequencing: A Comprehensive Analysis of Biotypes, Sequence Types, and Antimicrobial and Virulence Genes",10.7759/cureus.71118,PMC11548977,,Pseudomonas,"Bharadwaj, Cureus 2024"
3,False,other,1,1,DEH24_14130,alt,77,2024,"Metagenomic insights into microbial community, functional annotation, and antibiotic resistance genes in Himalayan Brahmaputra River sediment, India",10.3389/fmicb.2024.1426463,PMC11614985,,Pseudomonas,"Sharma, Frontiers in microbiology 2024"
3,False,other,1,1,DEH24_14130,alt,77,2025,Proteome-wide identification of druggable targets and inhibitors for multidrug-resistant <i>Pseudomonas aeruginosa</i> using an integrative subtractive proteomics and virtual screening approach,10.1016/j.heliyon.2025.e42584,PMC11891712,,Pseudomonas,"Vemula, Heliyon 2025"
3,False,other,1,1,DEH24_14130,alt,77,2025,Abundance and transmission of antibiotic resistance and virulence genes through mobile genetic elements in integrated chicken and fish farming system,10.1038/s41598-025-92921-w,PMC12217527,,Pseudomonas,"Kador, Scientific reports 2025"
3,False,other,1,1,DEH24_14130,alt,77,2025,Metatranscriptome analysis to unveil the molecular signatures of transcriptionally active pathogens associated with bovine mastitis,10.3389/fvets.2025.1642351,PMC12571623,,Pseudomonas,"Naveenprasath, Frontiers in veterinary science 2025"
3,False,other,1,1,DEH24_14130,alt,77,2025,Genomic Characterization of Intestinal Colonizing <i>Pseudomonas juntendi</i> Strains Harboring <i>bla</i> <sub>VIM-2</sub>,10.2147/idr.s554163,PMC12702284,,Pseudomonas,"Zhu, Infection and drug resistance 2025"
3,False,other,1,1,DEH24_14130,alt,77,2025,"Isolation, Characterization, and Evaluation of a Lytic Jumbo Phage Z90 Against Aeromonas hydrophila in American Eels (Anguilla rostrata)",10.3390/antibiotics15010027,PMC12837969,,Pseudomonas,"Zhang, Antibiotics (Basel, Switzerland) 2025"
3,False,other,1,1,DEH24_14130,alt,77,2021,Transcriptome Analysis on the Mechanism of Ethylicin Inhibiting Pseudomonas syringae pv. actinidiae on Kiwifruit,10.3390/microorganisms9040724,PMC8067213,,Pseudomonas,"Liu, Microorganisms 2021"
3,False,other,1,1,DEH24_14130,alt,77,2023,Diverse Partners of the Partitioning ParB Protein in Pseudomonas aeruginosa,10.1128/spectrum.04289-22,PMC9927451,,Pseudomonas,"Kawalek, Microbiology spectrum 2023"
3,False,other,1,1,DEH24_14130,alt,76,2020,Gross transcriptomic analysis of Pseudomonas putida for diagnosing environmental shifts,10.1111/1751-7915.13404,PMC6922523,,Pseudomonas,"Hueso-Gil, Microbial biotechnology 2020"
3,False,other,1,1,DEH24_02300,alt,75,2019,"Identification and characterization of levulinyl-CoA synthetase from Pseudomonas citronellolis, which differs phylogenetically from LvaE of Pseudomonas putida",10.1186/s13568-019-0853-y,PMC6692424,,Pseudomonas,"Habe, AMB Express 2019"
3,False,other,1,1,DEH24_14130,alt,72,2012,Novel genes involved in Pseudomonas fluorescens Pf0-1 motility and biofilm formation,10.1128/aem.07201-11,PMC3370546,,Pseudomonas,"Mastropaolo, Applied and environmental microbiology 2012"
3,False,other,1,1,DEH24_02300,alt,71,2023,UEG Week 2023 Poster Presentations,10.1002/ueg2.12461,PMC10576948,,Pseudomonas,", United European gastroenterology journal 2023"
3,False,other,1,1,DEH24_02300,alt,71,2025,Automation and machine learning drive rapid optimization of isoprenol production in Pseudomonas putida,10.1038/s41467-025-66304-8,PMC12748988,,Pseudomonas,"Carruthers, Nature communications 2025"
3,False,other,1,1,DEH24_02300,alt,71,2012,Differential proteomics and physiology of Pseudomonas putida KT2440 under filament-inducing conditions,10.1186/1471-2180-12-282,PMC3538555,,Pseudomonas,"Crabbé, BMC microbiology 2012"
3,False,other,1,1,DEH24_02300,alt,69,2026,Activation of the envelope stress-responsive two-component system AmgRS compensates for depletion of the essential lipoprotein signal peptidase LspA in <i>Pseudomonas aeruginosa</i>,10.1016/j.crmicr.2026.100565,PMC12906115,,Pseudomonas,"Sposato, Current research in microbial sciences 2026"
3,False,other,1,1,DEH24_02300,alt,69,2009,Targeting a bacterial stress response to enhance antibiotic action,10.1073/pnas.0903619106,PMC2732827,,Pseudomonas,"Lee, Proceedings of the National Academy of Sciences of the United States of America 2009"
3,False,other,1,1,DEH24_02300,alt,69,2009,Lipotoxin F of Pseudomonas aeruginosa is an AlgU-dependent and alginate-independent outer membrane protein involved in resistance to oxidative stress and adhesion to A549 human lung epithelia,10.1099/mic.0.025833-0,PMC2895231,,Pseudomonas,"Damron, Microbiology (Reading, England) 2009"
3,False,other,1,1,DEH24_02300,alt,69,2011,Transcriptional and proteomic responses of Pseudomonas aeruginosa PAO1 to spaceflight conditions involve Hfq regulation and reveal a role for oxygen,10.1128/aem.01582-10,PMC3067220,,Pseudomonas,"Crabbé, Applied and environmental microbiology 2011"
3,False,other,1,1,DEH24_02300,alt,69,2012,A systems biology approach to drug targets in Pseudomonas aeruginosa biofilm,10.1371/journal.pone.0034337,PMC3327687,,Pseudomonas,"Sigurdsson, PloS one 2012"
3,False,other,1,1,DEH24_02300,alt,69,2013,A systems-level approach for investigating Pseudomonas aeruginosa biofilm formation,10.1371/journal.pone.0057050,PMC3579789,,Pseudomonas,"Xu, PloS one 2013"
3,False,other,1,1,DEH24_02300,alt,69,2013,Bis-(3'-5')-cyclic dimeric GMP regulates antimicrobial peptide resistance in Pseudomonas aeruginosa,10.1128/aac.02499-12,PMC3632963,,Pseudomonas,"Chua, Antimicrobial agents and chemotherapy 2013"
3,False,other,1,1,EZ55_01060,alt,64,2007,Whole proteome analysis of post-translational modifications: applications of mass-spectrometry for proteogenomic annotation,10.1101/gr.6427907,PMC1950905,,Shewanella,"Gupta, Genome research 2007"
3,False,other,1,1,EZ55_01060,alt,52,2010,Quantitative analysis of cell surface membrane proteins using membrane-impermeable chemical probe coupled with 18O labeling,10.1021/pr9009113,PMC2918385,,Shewanella,"Zhang, Journal of proteome research 2010"
