locus_tag,term_id,term_name
PMM0001,tigr.role:132,"DNA metabolism / DNA replication, recombination, and repair"
PMM0002,tigr.role:156,Hypothetical proteins / Conserved
PMM0003,tigr.role:125,"Purines, pyrimidines, nucleosides, and nucleotides / Purine ribonucleotide biosynthesis"
PMM0004,tigr.role:125,"Purines, pyrimidines, nucleosides, and nucleotides / Purine ribonucleotide biosynthesis"
PMM0005,tigr.role:132,"DNA metabolism / DNA replication, recombination, and repair"
PMM0006,tigr.role:157,Unknown function / General
PMM0007,tigr.role:168,Protein synthesis / tRNA and rRNA base modification
PMM0008,tigr.role:156,Hypothetical proteins / Conserved
PMM0009,tigr.role:133,Transcription / Other
PMM0010,tigr.role:97,Protein fate / Protein and peptide secretion and trafficking
PMM0011,tigr.role:700,Signal transduction / PTS
PMM0012,tigr.role:73,Amino acid biosynthesis / Glutamate family
PMM0013,tigr.role:262,Regulatory functions / RNA interactions
PMM0014,tigr.role:168,Protein synthesis / tRNA and rRNA base modification
PMM0015,tigr.role:140,Protein fate / Protein modification and repair
PMM0015,tigr.role:149,Cellular processes / Adaptations to atypical conditions
PMM0016,tigr.role:136,Protein synthesis / Other
PMM0016,tigr.role:95,Protein fate / Protein folding and stabilization
PMM0017,tigr.role:95,Protein fate / Protein folding and stabilization
PMM0018,tigr.role:156,Hypothetical proteins / Conserved
PMM0019,tigr.role:162,"Biosynthesis of cofactors, prosthetic groups, and carriers / Thiamine"
PMM0020,tigr.role:156,Hypothetical proteins / Conserved
PMM0021,tigr.role:89,Cell envelope / Biosynthesis and degradation of murein sacculus and peptidoglycan
PMM0022,tigr.role:89,Cell envelope / Biosynthesis and degradation of murein sacculus and peptidoglycan
PMM0023,tigr.role:116,Energy metabolism / Glycolysis/gluconeogenesis
PMM0023,tigr.role:164,Energy metabolism / Photosynthesis
PMM0024,tigr.role:162,"Biosynthesis of cofactors, prosthetic groups, and carriers / Thiamine"
PMM0025,tigr.role:95,Protein fate / Protein folding and stabilization
PMM0026,tigr.role:169,Protein synthesis / Translation factors
PMM0027,tigr.role:176,Fatty acid and phospholipid metabolism / Biosynthesis
PMM0028,tigr.role:84,"Biosynthesis of cofactors, prosthetic groups, and carriers / Pyridoxine"
PMM0029,tigr.role:703,Unknown function / Enzymes of unknown specificity
PMM0030,tigr.role:856,Not Found
PMM0031,tigr.role:123,"Purines, pyrimidines, nucleosides, and nucleotides / 2^-Deoxyribonucleotide metabolism"
PMM0032,tigr.role:185,Unclassified / Role category not yet assigned
PMM0033,tigr.role:156,Hypothetical proteins / Conserved
PMM0034,tigr.role:156,Hypothetical proteins / Conserved
PMM0035,tigr.role:75,Amino acid biosynthesis / Serine family
PMM0036,tigr.role:79,"Biosynthesis of cofactors, prosthetic groups, and carriers / Heme, porphyrin, and cobalamin"
PMM0037,tigr.role:125,"Purines, pyrimidines, nucleosides, and nucleotides / Purine ribonucleotide biosynthesis"
PMM0038,tigr.role:183,DNA metabolism / Restriction/modification
PMM0039,tigr.role:185,Unclassified / Role category not yet assigned
