locus_tag,term_id,term_name
PMM0001,cog.category:L,"Replication, recombination and repair"
PMM0002,cog.category:S,Function unknown
PMM0003,cog.category:F,Nucleotide transport and metabolism
PMM0004,cog.category:F,Nucleotide transport and metabolism
PMM0005,cog.category:L,"Replication, recombination and repair"
PMM0006,cog.category:S,Function unknown
PMM0007,cog.category:C,Energy production and conversion
PMM0008,cog.category:S,Function unknown
PMM0009,cog.category:K,Transcription
PMM0010,cog.category:U,"Intracellular trafficking, secretion, and vesicular transport"
PMM0011,cog.category:K,Transcription
PMM0011,cog.category:T,Signal transduction mechanisms
PMM0012,cog.category:E,Amino acid transport and metabolism
PMM0013,cog.category:S,Function unknown
PMM0014,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0015,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0016,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0017,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0018,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0019,cog.category:S,Function unknown
PMM0020,cog.category:S,Function unknown
PMM0021,cog.category:M,Cell wall/membrane/envelope biogenesis
PMM0022,cog.category:M,Cell wall/membrane/envelope biogenesis
PMM0023,cog.category:G,Carbohydrate transport and metabolism
PMM0024,cog.category:F,Nucleotide transport and metabolism
PMM0025,cog.category:M,Cell wall/membrane/envelope biogenesis
PMM0026,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0027,cog.category:I,Lipid transport and metabolism
PMM0028,cog.category:C,Energy production and conversion
PMM0029,cog.category:G,Carbohydrate transport and metabolism
PMM0029,cog.category:M,Cell wall/membrane/envelope biogenesis
PMM0031,cog.category:L,"Replication, recombination and repair"
PMM0032,cog.category:S,Function unknown
PMM0033,cog.category:S,Function unknown
PMM0034,cog.category:S,Function unknown
PMM0035,cog.category:E,Amino acid transport and metabolism
PMM0036,cog.category:H,Coenzyme transport and metabolism
PMM0037,cog.category:F,Nucleotide transport and metabolism
PMM0038,cog.category:L,"Replication, recombination and repair"
PMM0039,cog.category:S,Function unknown
PMM0040,cog.category:M,Cell wall/membrane/envelope biogenesis
PMM0041,cog.category:S,Function unknown
PMM0042,cog.category:C,Energy production and conversion
PMM0043,cog.category:C,Energy production and conversion
PMM0044,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0045,cog.category:H,Coenzyme transport and metabolism
PMM0046,cog.category:F,Nucleotide transport and metabolism
PMM0047,cog.category:C,Energy production and conversion
PMM0048,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0049,cog.category:F,Nucleotide transport and metabolism
PMM0050,cog.category:E,Amino acid transport and metabolism
PMM0051,cog.category:D,"Cell cycle control, cell division, chromosome partitioning"
PMM0052,cog.category:C,Energy production and conversion
PMM0053,cog.category:L,"Replication, recombination and repair"
PMM0054,cog.category:S,Function unknown
PMM0055,cog.category:S,Function unknown
PMM0056,cog.category:S,Function unknown
PMM0057,cog.category:D,"Cell cycle control, cell division, chromosome partitioning"
PMM0058,cog.category:S,Function unknown
PMM0059,cog.category:M,Cell wall/membrane/envelope biogenesis
PMM0060,cog.category:I,Lipid transport and metabolism
PMM0061,cog.category:S,Function unknown
PMM0062,cog.category:S,Function unknown
PMM0063,cog.category:K,Transcription
PMM0063,cog.category:L,"Replication, recombination and repair"
PMM0063,cog.category:T,Signal transduction mechanisms
PMM0064,cog.category:S,Function unknown
PMM0065,cog.category:S,Function unknown
PMM0066,cog.category:S,Function unknown
PMM0067,cog.category:F,Nucleotide transport and metabolism
PMM0067,cog.category:G,Carbohydrate transport and metabolism
PMM0068,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0069,cog.category:E,Amino acid transport and metabolism
PMM0070,cog.category:E,Amino acid transport and metabolism
PMM0071,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0072,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0073,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0074,cog.category:S,Function unknown
PMM0075,cog.category:S,Function unknown
PMM0076,cog.category:G,Carbohydrate transport and metabolism
PMM0077,cog.category:L,"Replication, recombination and repair"
PMM0078,cog.category:H,Coenzyme transport and metabolism
PMM0079,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0080,cog.category:K,Transcription
PMM0081,cog.category:E,Amino acid transport and metabolism
PMM0081,cog.category:H,Coenzyme transport and metabolism
PMM0082,cog.category:C,Energy production and conversion
PMM0083,cog.category:P,Inorganic ion transport and metabolism
PMM0084,cog.category:P,Inorganic ion transport and metabolism
PMM0085,cog.category:P,Inorganic ion transport and metabolism
PMM0086,cog.category:S,Function unknown
PMM0087,cog.category:S,Function unknown
PMM0088,cog.category:S,Function unknown
PMM0089,cog.category:S,Function unknown
PMM0090,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0091,cog.category:S,Function unknown
PMM0092,cog.category:S,Function unknown
PMM0094,cog.category:S,Function unknown
PMM0095,cog.category:S,Function unknown
PMM0096,cog.category:G,Carbohydrate transport and metabolism
PMM0097,cog.category:M,Cell wall/membrane/envelope biogenesis
PMM0097,cog.category:U,"Intracellular trafficking, secretion, and vesicular transport"
PMM0098,cog.category:C,Energy production and conversion
PMM0099,cog.category:S,Function unknown
PMM0100,cog.category:H,Coenzyme transport and metabolism
PMM0101,cog.category:C,Energy production and conversion
PMM0101,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0102,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0103,cog.category:H,Coenzyme transport and metabolism
PMM0104,cog.category:S,Function unknown
PMM0105,cog.category:H,Coenzyme transport and metabolism
PMM0106,cog.category:H,Coenzyme transport and metabolism
PMM0107,cog.category:F,Nucleotide transport and metabolism
PMM0108,cog.category:S,Function unknown
PMM0109,cog.category:S,Function unknown
PMM0110,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0111,cog.category:S,Function unknown
PMM0112,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0113,cog.category:H,Coenzyme transport and metabolism
PMM0114,cog.category:S,Function unknown
PMM0115,cog.category:S,Function unknown
PMM0116,cog.category:S,Function unknown
PMM0117,cog.category:N,Cell motility
PMM0117,cog.category:U,"Intracellular trafficking, secretion, and vesicular transport"
PMM0118,cog.category:S,Function unknown
PMM0120,cog.category:D,"Cell cycle control, cell division, chromosome partitioning"
PMM0121,cog.category:C,Energy production and conversion
PMM0122,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0123,cog.category:E,Amino acid transport and metabolism
PMM0124,cog.category:S,Function unknown
PMM0125,cog.category:P,Inorganic ion transport and metabolism
PMM0126,cog.category:S,Function unknown
PMM0127,cog.category:S,Function unknown
PMM0128,cog.category:T,Signal transduction mechanisms
PMM0129,cog.category:L,"Replication, recombination and repair"
PMM0130,cog.category:F,Nucleotide transport and metabolism
PMM0131,cog.category:P,Inorganic ion transport and metabolism
PMM0132,cog.category:N,Cell motility
PMM0132,cog.category:U,"Intracellular trafficking, secretion, and vesicular transport"
PMM0133,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0134,cog.category:K,Transcription
PMM0134,cog.category:T,Signal transduction mechanisms
PMM0135,cog.category:I,Lipid transport and metabolism
PMM0136,cog.category:I,Lipid transport and metabolism
PMM0137,cog.category:I,Lipid transport and metabolism
PMM0138,cog.category:I,Lipid transport and metabolism
PMM0139,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0140,cog.category:S,Function unknown
PMM0141,cog.category:H,Coenzyme transport and metabolism
PMM0142,cog.category:S,Function unknown
PMM0143,cog.category:I,Lipid transport and metabolism
PMM0144,cog.category:E,Amino acid transport and metabolism
PMM0145,cog.category:C,Energy production and conversion
PMM0146,cog.category:S,Function unknown
PMM0147,cog.category:K,Transcription
PMM0148,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0149,cog.category:C,Energy production and conversion
PMM0149,cog.category:P,Inorganic ion transport and metabolism
PMM0150,cog.category:C,Energy production and conversion
PMM0151,cog.category:D,"Cell cycle control, cell division, chromosome partitioning"
PMM0152,cog.category:H,Coenzyme transport and metabolism
PMM0153,cog.category:C,Energy production and conversion
PMM0154,cog.category:K,Transcription
PMM0155,cog.category:S,Function unknown
PMM0156,cog.category:F,Nucleotide transport and metabolism
PMM0157,cog.category:C,Energy production and conversion
PMM0158,cog.category:C,Energy production and conversion
PMM0159,cog.category:C,Energy production and conversion
PMM0160,cog.category:C,Energy production and conversion
PMM0161,cog.category:C,Energy production and conversion
PMM0162,cog.category:S,Function unknown
PMM0163,cog.category:P,Inorganic ion transport and metabolism
PMM0164,cog.category:E,Amino acid transport and metabolism
PMM0165,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0166,cog.category:F,Nucleotide transport and metabolism
PMM0167,cog.category:F,Nucleotide transport and metabolism
PMM0168,cog.category:H,Coenzyme transport and metabolism
PMM0169,cog.category:K,Transcription
PMM0170,cog.category:E,Amino acid transport and metabolism
PMM0171,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0172,cog.category:C,Energy production and conversion
PMM0173,cog.category:S,Function unknown
PMM0174,cog.category:I,Lipid transport and metabolism
PMM0174,cog.category:Q,"Secondary metabolites biosynthesis, transport and catabolism"
PMM0175,cog.category:M,Cell wall/membrane/envelope biogenesis
PMM0176,cog.category:M,Cell wall/membrane/envelope biogenesis
PMM0177,cog.category:H,Coenzyme transport and metabolism
PMM0177,cog.category:Q,"Secondary metabolites biosynthesis, transport and catabolism"
PMM0178,cog.category:H,Coenzyme transport and metabolism
PMM0179,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0180,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0181,cog.category:S,Function unknown
PMM0182,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0183,cog.category:M,Cell wall/membrane/envelope biogenesis
PMM0184,cog.category:E,Amino acid transport and metabolism
PMM0184,cog.category:H,Coenzyme transport and metabolism
PMM0185,cog.category:S,Function unknown
PMM0186,cog.category:E,Amino acid transport and metabolism
PMM0187,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0188,cog.category:H,Coenzyme transport and metabolism
PMM0189,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0190,cog.category:S,Function unknown
PMM0191,cog.category:K,Transcription
PMM0191,cog.category:T,Signal transduction mechanisms
PMM0192,cog.category:P,Inorganic ion transport and metabolism
PMM0193,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0194,cog.category:S,Function unknown
PMM0195,cog.category:F,Nucleotide transport and metabolism
PMM0196,cog.category:S,Function unknown
PMM0197,cog.category:M,Cell wall/membrane/envelope biogenesis
PMM0198,cog.category:E,Amino acid transport and metabolism
PMM0199,cog.category:F,Nucleotide transport and metabolism
PMM0200,cog.category:L,"Replication, recombination and repair"
PMM0201,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0202,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0203,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0204,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0205,cog.category:K,Transcription
PMM0206,cog.category:U,"Intracellular trafficking, secretion, and vesicular transport"
PMM0207,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0208,cog.category:F,Nucleotide transport and metabolism
PMM0209,cog.category:S,Function unknown
PMM0210,cog.category:S,Function unknown
PMM0211,cog.category:C,Energy production and conversion
PMM0212,cog.category:E,Amino acid transport and metabolism
PMM0213,cog.category:S,Function unknown
PMM0214,cog.category:P,Inorganic ion transport and metabolism
PMM0215,cog.category:H,Coenzyme transport and metabolism
PMM0216,cog.category:E,Amino acid transport and metabolism
PMM0217,cog.category:L,"Replication, recombination and repair"
PMM0218,cog.category:S,Function unknown
PMM0219,cog.category:S,Function unknown
PMM0220,cog.category:S,Function unknown
PMM0221,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0222,cog.category:E,Amino acid transport and metabolism
PMM0223,cog.category:C,Energy production and conversion
PMM0224,cog.category:E,Amino acid transport and metabolism
PMM0225,cog.category:G,Carbohydrate transport and metabolism
PMM0226,cog.category:D,"Cell cycle control, cell division, chromosome partitioning"
PMM0227,cog.category:P,Inorganic ion transport and metabolism
PMM0228,cog.category:S,Function unknown
PMM0229,cog.category:H,Coenzyme transport and metabolism
PMM0230,cog.category:S,Function unknown
PMM0231,cog.category:S,Function unknown
PMM0232,cog.category:S,Function unknown
PMM0233,cog.category:F,Nucleotide transport and metabolism
PMM0234,cog.category:L,"Replication, recombination and repair"
PMM0235,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0236,cog.category:I,Lipid transport and metabolism
PMM0237,cog.category:M,Cell wall/membrane/envelope biogenesis
PMM0238,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0239,cog.category:S,Function unknown
PMM0240,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0241,cog.category:G,Carbohydrate transport and metabolism
PMM0242,cog.category:C,Energy production and conversion
PMM0242,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0243,cog.category:F,Nucleotide transport and metabolism
PMM0244,cog.category:F,Nucleotide transport and metabolism
PMM0245,cog.category:H,Coenzyme transport and metabolism
PMM0246,cog.category:K,Transcription
PMM0247,cog.category:S,Function unknown
PMM0248,cog.category:L,"Replication, recombination and repair"
PMM0249,cog.category:S,Function unknown
PMM0250,cog.category:J,"Translation, ribosomal structure and biogenesis"
PMM0251,cog.category:S,Function unknown
PMM0252,cog.category:S,Function unknown
PMM0253,cog.category:U,"Intracellular trafficking, secretion, and vesicular transport"
PMM0254,cog.category:M,Cell wall/membrane/envelope biogenesis
PMM0255,cog.category:E,Amino acid transport and metabolism
PMM0256,cog.category:E,Amino acid transport and metabolism
PMM0257,cog.category:S,Function unknown
PMM0258,cog.category:E,Amino acid transport and metabolism
PMM0259,cog.category:S,Function unknown
PMM0260,cog.category:S,Function unknown
PMM0261,cog.category:S,Function unknown
PMM0262,cog.category:S,Function unknown
PMM0263,cog.category:P,Inorganic ion transport and metabolism
PMM0264,cog.category:I,Lipid transport and metabolism
PMM0264,cog.category:M,Cell wall/membrane/envelope biogenesis
PMM0265,cog.category:S,Function unknown
PMM0266,cog.category:F,Nucleotide transport and metabolism
PMM0267,cog.category:S,Function unknown
PMM0268,cog.category:S,Function unknown
PMM0269,cog.category:T,Signal transduction mechanisms
PMM0270,cog.category:H,Coenzyme transport and metabolism
PMM0271,cog.category:F,Nucleotide transport and metabolism
PMM0272,cog.category:U,"Intracellular trafficking, secretion, and vesicular transport"
PMM0273,cog.category:S,Function unknown
PMM0274,cog.category:P,Inorganic ion transport and metabolism
PMM0275,cog.category:F,Nucleotide transport and metabolism
PMM0276,cog.category:S,Function unknown
PMM0277,cog.category:S,Function unknown
PMM0278,cog.category:G,Carbohydrate transport and metabolism
PMM0279,cog.category:F,Nucleotide transport and metabolism
PMM0280,cog.category:Q,"Secondary metabolites biosynthesis, transport and catabolism"
PMM0281,cog.category:E,Amino acid transport and metabolism
PMM0282,cog.category:I,Lipid transport and metabolism
PMM0283,cog.category:O,"Post-translational modification, protein turnover, chaperones"
PMM0284,cog.category:E,Amino acid transport and metabolism
PMM0285,cog.category:L,"Replication, recombination and repair"
PMM0286,cog.category:L,"Replication, recombination and repair"
PMM0287,cog.category:H,Coenzyme transport and metabolism
PMM0288,cog.category:H,Coenzyme transport and metabolism
PMM0289,cog.category:Q,"Secondary metabolites biosynthesis, transport and catabolism"
PMM0290,cog.category:Q,"Secondary metabolites biosynthesis, transport and catabolism"
PMM0291,cog.category:S,Function unknown
PMM0292,cog.category:C,Energy production and conversion
PMM0293,cog.category:C,Energy production and conversion
PMM0294,cog.category:C,Energy production and conversion
PMM0295,cog.category:P,Inorganic ion transport and metabolism
PMM0296,cog.category:S,Function unknown
PMM0297,cog.category:C,Energy production and conversion
PMM0298,cog.category:C,Energy production and conversion
PMM0299,cog.category:U,"Intracellular trafficking, secretion, and vesicular transport"
