locus_tag,term_id,term_name
PMM0001,pfam:PF00712,"DNA polymerase III beta subunit, N-terminal domain"
PMM0001,pfam:PF02767,"DNA polymerase III beta subunit, central domain"
PMM0001,pfam:PF02768,"DNA polymerase III beta subunit, C-terminal domain"
PMM0002,pfam:PF05239,PRC-barrel domain
PMM0003,pfam:PF00586,"AIR synthase related protein, N-terminal domain"
PMM0003,pfam:PF02769,"AIR synthase related protein, C-terminal domain"
PMM0004,pfam:PF00156,Phosphoribosyl transferase domain
PMM0004,pfam:PF13522,Glutamine amidotransferase domain
PMM0005,pfam:PF00521,"DNA gyrase/topoisomerase IV, subunit A"
PMM0005,pfam:PF03989,"DNA gyrase C-terminal domain, beta-propeller"
PMM0006,pfam:PF00515,Tetratricopeptide repeat
PMM0006,pfam:PF07719,Tetratricopeptide repeat
PMM0006,pfam:PF13181,Tetratricopeptide repeat
PMM0006,pfam:PF13414,TPR repeat
PMM0006,pfam:PF13432,Tetratricopeptide repeat
PMM0006,pfam:PF14559,Tetratricopeptide repeat
PMM0007,pfam:PF08331,"Epoxyqueuosine reductase QueG, DUF1730"
PMM0007,pfam:PF13484,4Fe-4S double cluster binding domain
PMM0008,pfam:PF04367,Protein of unknown function (DUF502)
PMM0009,pfam:PF01029,NusB family
PMM0010,pfam:PF00448,"SRP54-type protein, GTPase domain"
PMM0010,pfam:PF02881,"SRP54-type protein, helical bundle domain"
PMM0011,pfam:PF07228,Stage II sporulation protein E (SpoIIE)
PMM0012,pfam:PF00206,Lyase
PMM0012,pfam:PF14698,Argininosuccinate lyase C-terminal
PMM0013,pfam:PF00076,RNA recognition motif
PMM0014,pfam:PF01207,Dihydrouridine synthase (Dus)
PMM0015,pfam:PF01641,SelR domain
PMM0016,pfam:PF01025,GrpE
PMM0017,pfam:PF00226,DnaJ domain
PMM0017,pfam:PF00684,DnaJ central domain
PMM0017,pfam:PF01556,DnaJ C terminal domain
PMM0018,pfam:PF01077,Nitrite and sulphite reductase 4Fe-4S domain
PMM0018,pfam:PF01206,Sulfurtransferase TusA
PMM0018,pfam:PF03460,Nitrite/Sulfite reductase ferredoxin-like half domain
PMM0019,pfam:PF03193,RsgA GTPase
PMM0020,pfam:PF02575,YbaB/EbfC DNA-binding family
PMM0021,pfam:PF01565,FAD binding domain
PMM0021,pfam:PF02873,"UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain"
PMM0022,pfam:PF01225,"Mur ligase family, catalytic domain"
PMM0022,pfam:PF02875,"Mur ligase, glutamate ligase domain"
PMM0022,pfam:PF08245,Mur ligase middle domain
PMM0023,pfam:PF00044,"Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain"
PMM0023,pfam:PF02800,"Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain"
PMM0024,pfam:PF00586,"AIR synthase related protein, N-terminal domain"
PMM0024,pfam:PF02769,"AIR synthase related protein, C-terminal domain"
PMM0025,pfam:PF00160,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PMM0025,pfam:PF21329,"Peptidyl-prolyl cis-trans isomerase CYP38-like, PsbQ-like domain"
PMM0026,pfam:PF01132,Elongation factor P (EF-P) OB domain
PMM0026,pfam:PF08207,Elongation factor P (EF-P) KOW-like domain
PMM0026,pfam:PF09285,"Elongation factor P, C-terminal"
PMM0027,pfam:PF00364,Biotin-requiring enzyme
PMM0028,pfam:PF04166,Pyridoxal phosphate biosynthetic protein PdxA
PMM0029,pfam:PF01370,NAD dependent epimerase/dehydratase family
PMM0029,pfam:PF04321,RmlD substrate binding domain
PMM0029,pfam:PF13460,NAD(P)H-binding
PMM0031,pfam:PF01844,HNH endonuclease
PMM0031,pfam:PF14279,HNH endonuclease
PMM0032,pfam:PF20191,Family of unknown function (DUF6554)
PMM0033,pfam:PF05145,Transition state regulatory protein AbrB
PMM0035,pfam:PF00266,Aminotransferase class-V
PMM0036,pfam:PF01888,CbiD
PMM0037,pfam:PF00117,Glutamine amidotransferase class-I
PMM0037,pfam:PF00733,Asparagine synthase
PMM0037,pfam:PF00958,GMP synthase C terminal domain
PMM0037,pfam:PF02540,NAD synthase
PMM0038,pfam:PF12705,PD-(D/E)XK nuclease superfamily
PMM0040,pfam:PF00905,Penicillin binding protein transpeptidase domain
PMM0040,pfam:PF03717,Penicillin-binding Protein dimerisation domain
PMM0041,pfam:PF03358,NADPH-dependent FMN reductase
PMM0042,pfam:PF00258,Flavodoxin
PMM0042,pfam:PF00753,Metallo-beta-lactamase superfamily
PMM0042,pfam:PF01613,Flavin reductase like domain
PMM0042,pfam:PF19583,ODP family beta lactamase
PMM0043,pfam:PF00753,Metallo-beta-lactamase superfamily
PMM0043,pfam:PF01613,Flavin reductase like domain
PMM0043,pfam:PF19583,ODP family beta lactamase
PMM0044,pfam:PF01411,tRNA synthetases class II (A)
PMM0044,pfam:PF02272,DHHA1 domain
PMM0044,pfam:PF07973,Threonyl and Alanyl tRNA synthetase second additional domain
PMM0045,pfam:PF00278,"Pyridoxal-dependent decarboxylase, C-terminal sheet domain"
PMM0045,pfam:PF02784,"Pyridoxal-dependent decarboxylase, pyridoxal binding domain"
PMM0046,pfam:PF00334,Nucleoside diphosphate kinase
PMM0047,pfam:PF01266,FAD dependent oxidoreductase
PMM0048,pfam:PF02637,GatB domain
PMM0048,pfam:PF02934,GatB/GatE catalytic domain
PMM0049,pfam:PF01121,Dephospho-CoA kinase
PMM0050,pfam:PF01960,ArgJ family
PMM0051,pfam:PF01656,CobQ/CobB/MinD/ParA nucleotide binding domain
PMM0051,pfam:PF13614,AAA domain
PMM0052,pfam:PF00248,Aldo/keto reductase family
PMM0053,pfam:PF01170,"RMKL-like, methyltransferase domain"
PMM0053,pfam:PF02926,THUMP domain
PMM0053,pfam:PF22020,RlmL ferredoxin-like domain
PMM0054,pfam:PF07332,"Putative Actinobacterial Holin-X, holin superfamily III"
PMM0055,pfam:PF05957,DUF883 N-terminal domain
PMM0056,pfam:PF13298,DNA Ligase D 3^-phosphoesterase domain
PMM0057,pfam:PF02463,RecF/RecN/SMC N terminal domain
PMM0057,pfam:PF06470,SMC proteins Flexible Hinge Domain
PMM0058,pfam:PF05239,PRC-barrel domain
PMM0060,pfam:PF00289,"Biotin carboxylase, N-terminal domain"
PMM0060,pfam:PF02785,Biotin carboxylase C-terminal domain
PMM0060,pfam:PF02786,"Carbamoyl-phosphate synthase L chain, ATP binding domain"
PMM0061,pfam:PF02325,CCB3/YggT
PMM0062,pfam:PF06596,Photosystem II reaction centre X protein (PsbX)
PMM0063,pfam:PF07444,Ycf66 protein N-terminus
PMM0064,pfam:PF00504,Chlorophyll A-B binding protein
PMM0065,pfam:PF00005,ABC transporter
PMM0065,pfam:PF06472,ABC transporter transmembrane region 2
PMM0067,pfam:PF01230,HIT domain
PMM0067,pfam:PF11969,Scavenger mRNA decapping enzyme C-term binding
PMM0068,pfam:PF01327,Polypeptide deformylase
PMM0069,pfam:PF00326,Prolyl oligopeptidase family
PMM0069,pfam:PF07676,WD40-like Beta Propeller Repeat
PMM0070,pfam:PF00266,Aminotransferase class-V
PMM0071,pfam:PF01458,"SUF system FeS cluster assembly, SufBD core domain"
PMM0072,pfam:PF00005,ABC transporter
PMM0073,pfam:PF01458,"SUF system FeS cluster assembly, SufBD core domain"
PMM0073,pfam:PF19295,SufBD protein N-terminal region
PMM0075,pfam:PF07498,"Rho termination factor, N-terminal domain"
PMM0075,pfam:PF16258,Domain of unknown function (DUF4912)
PMM0076,pfam:PF00408,"Phosphoglucomutase/phosphomannomutase, C-terminal domain"
PMM0076,pfam:PF02878,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I"
PMM0076,pfam:PF02879,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II"
PMM0076,pfam:PF02880,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III"
PMM0076,pfam:PF24947,"Phosphoglucomutase-1, C-terminal domain"
PMM0077,pfam:PF00004,ATPase family associated with various cellular activities (AAA)
PMM0077,pfam:PF05496,Holliday junction DNA helicase RuvB P-loop domain
PMM0077,pfam:PF12002,MgsA AAA+ ATPase C terminal
PMM0077,pfam:PF16193,AAA C-terminal domain
PMM0078,pfam:PF01648,4^-phosphopantetheinyl transferase superfamily
PMM0079,pfam:PF00578,AhpC/TSA family
PMM0080,pfam:PF03309,Type III pantothenate kinase
PMM0081,pfam:PF01507,Phosphoadenosine phosphosulfate reductase domain
PMM0082,pfam:PF00070,Pyridine nucleotide-disulphide oxidoreductase
PMM0082,pfam:PF07992,Pyridine nucleotide-disulphide oxidoreductase
PMM0083,pfam:PF00939,Sodium:sulfate symporter transmembrane region
PMM0083,pfam:PF02080,TrkA-C domain
PMM0083,pfam:PF03600,Citrate transporter
PMM0084,pfam:PF02386,Cation transport protein
PMM0085,pfam:PF02080,TrkA-C domain
PMM0085,pfam:PF02254,TrkA-N domain
PMM0086,pfam:PF07878,"CopG-like RHH_1 or ribbon-helix-helix domain, RHH_5"
PMM0089,pfam:PF00005,ABC transporter
