locus_tag,organism,genus,gene_name,product,gene_category,freq,best_rank,annotation_state,annotation_quality,ortholog_group_size,ortholog_genera,protein_id,has_seq
DEH24_02300,Alteromonas (MarRef v6),Alteromonas,adk,adenylate kinase,Nucleotide metabolism,10,1.0,informative_multi,3,10.0,Alteromonas,HBY38216.1,True
PMM1135,Prochlorococcus MED4,Prochlorococcus,hli,high light inducible protein,Stress response and adaptation,10,1.0,informative_multi,3,31.0,Prochlorococcus,WP_011132768.1,True
PMM1404,Prochlorococcus MED4,Prochlorococcus,hli,high light inducible protein,Stress response and adaptation,10,1.0,informative_multi,3,40.0,Prochlorococcus,WP_011133033.1,True
PMM1028,Prochlorococcus MED4,Prochlorococcus,,uncharacterized conserved secreted protein,Unknown,9,1.0,catch_all_only,1,28.0,"Prochlorococcus, Synechococcus",WP_011132661.1,True
PMM0817,Prochlorococcus MED4,Prochlorococcus,hli,high light inducible protein,Stress response and adaptation,8,3.0,informative_multi,3,31.0,Prochlorococcus,WP_011132451.1,True
PMM0806,Prochlorococcus MED4,Prochlorococcus,,"possible transcriptional regulator of iron metabolism, Crp/Fnr family protein",Stress response and adaptation,7,1.0,informative_multi,3,18.0,"Prochlorococcus, Synechococcus",WP_011132440.1,True
PMM0818,Prochlorococcus MED4,Prochlorococcus,hli,high light inducible protein,Stress response and adaptation,7,3.0,informative_multi,3,34.0,Prochlorococcus,WP_011132452.1,True
DEH24_14130,Alteromonas (MarRef v6),Alteromonas,cheW,chemotaxis protein CheW,Cell motility,6,1.0,informative_multi,3,10.0,Alteromonas,HBY40558.1,True
HP15_2958,Marinobacter (MarRef v6),Marinobacter,gtsA,ABC transporter substrate-binding protein,Carbohydrate metabolism,6,1.0,informative_multi,3,55.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus, Thermosynechococcus",WP_041645557.1,True
PMM1118,Prochlorococcus MED4,Prochlorococcus,hli,high light inducible protein,Stress response and adaptation,6,1.0,informative_multi,3,34.0,Prochlorococcus,WP_011132751.1,True
PMM1359,Prochlorococcus MED4,Prochlorococcus,,"uncharacterized conserved membrane protein, DoxX family",Stress response and adaptation,6,1.0,informative_multi,3,17.0,"Prochlorococcus, Synechococcus",WP_011132993.1,True
PMM1400,Prochlorococcus MED4,Prochlorococcus,,RmlC-like cupin domain-containing protein,Post-translational modification,6,1.0,informative_multi,3,19.0,"Prochlorococcus, Synechococcus",WP_011133029.1,True
PMT0992,Prochlorococcus MIT9313,Prochlorococcus,hli,high light inducible protein,Stress response and adaptation,6,1.0,informative_multi,3,12.0,Prochlorococcus,WP_011130364.1,True
PMM0030,Prochlorococcus MED4,Prochlorococcus,,conserved hypothetical protein,Unknown,5,1.0,catch_all_only,1,7.0,Prochlorococcus,WP_152556136.1,True
PMM0356,Prochlorococcus MED4,Prochlorococcus,pip,proline iminopeptidase,Amino acid metabolism,5,1.0,informative_multi,3,13.0,Prochlorococcus,WP_011131993.1,True
PMM1672,Prochlorococcus MED4,Prochlorococcus,desC4,delta-9 fatty-acid desaturase DesC4,Stress response and adaptation,5,1.0,informative_multi,3,19.0,"Prochlorococcus, Synechococcus",WP_036930746.1,True
HP15_1397,Marinobacter (MarRef v6),Marinobacter,katG,catalase/peroxidase HPI,Inorganic ion transport,5,2.0,informative_multi,3,19.0,"Alteromonas, Marinobacter, Pseudomonas, Ruegeria, Shewanella, Synechococcus",WP_041645165.1,True
HP15_372,Marinobacter (MarRef v6),Marinobacter,rplL,50S ribosomal protein L7/L12,Translation,5,2.0,informative_multi,3,39.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus, Thermosynechococcus",WP_008174836.1,True
PMM0336,Prochlorococcus MED4,Prochlorococcus,PTOX,plastoquinol terminal oxidase,Stress response and adaptation,5,2.0,informative_multi,3,12.0,Prochlorococcus,WP_011131973.1,True
PMM1397,Prochlorococcus MED4,Prochlorococcus,hli,high light inducible protein,Stress response and adaptation,5,2.0,informative_multi,3,14.0,Prochlorococcus,WP_011132450.1,True
PMM1396,Prochlorococcus MED4,Prochlorococcus,hli,high light inducible protein,Stress response and adaptation,5,4.0,informative_multi,3,33.0,Prochlorococcus,,False
BL107_07454,Synechococcus sp. BL107,Synechococcus,nusG,transcription termination/antitermination factor NusG,Transcription,4,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_009788712.1,True
DEH24_01620,Alteromonas (MarRef v6),Alteromonas,tsaA,alkyl hydroperoxide reductase,Post-translational modification,4,1.0,informative_multi,3,10.0,Alteromonas,HBY38081.1,True
DEH24_07870,Alteromonas (MarRef v6),Alteromonas,lpdA,dihydrolipoyl dehydrogenase,Energy production,4,1.0,informative_multi,3,10.0,Alteromonas,HBY39317.1,True
EZ55_00872,Alteromonas macleodii EZ55,Alteromonas,,organic hydroperoxide resistance protein,Post-translational modification,4,1.0,informative_multi,3,10.0,Alteromonas,WP_014948414.1,True
EZ55_02158,Alteromonas macleodii EZ55,Alteromonas,yhhW,pirin family protein,Unknown,4,1.0,informative_multi,3,7.0,Alteromonas,WP_156086465.1,True
EZ55_02634,Alteromonas macleodii EZ55,Alteromonas,,HvfA family oxazolone/thioamide-modified RiPP metallophore,Unknown,4,1.0,informative_single,2,9.0,Alteromonas,WP_156086632.1,True
EZ55_03523,Alteromonas macleodii EZ55,Alteromonas,,hypothetical protein,Unknown,4,1.0,no_evidence,0,,,WP_155279885.1,True
HP15_2158,Marinobacter (MarRef v6),Marinobacter,,ABC transporter substrate-binding protein,Carbohydrate metabolism,4,1.0,informative_multi,3,55.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus, Thermosynechococcus",WP_014577497.1,True
HP15_3759,Marinobacter (MarRef v6),Marinobacter,prlC,oligopeptidase A,Amino acid metabolism,4,1.0,informative_multi,3,56.0,"Alteromonas, Marinobacter, Meiothermus, Prochlorococcus, Pseudomonas, Ruegeria, Shewanella, Synechococcus, Thermosynechococcus",WP_014578889.1,True
PMM0551,Prochlorococcus MED4,Prochlorococcus,rbcS,"ribulose bisphosphate carboxylase, small subunit",Photosynthesis,4,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011132185.1,True
PMM0627,Prochlorococcus MED4,Prochlorococcus,pcb,"divinyl-chlorophyll a/b binding light harvesting protein, photosystem II-associated",Stress response and adaptation,4,1.0,informative_multi,3,41.0,Prochlorococcus,WP_011132261.1,True
PMM0958,Prochlorococcus MED4,Prochlorococcus,,conserved hypothetical protein (DUF1830),Unknown,4,1.0,informative_single,2,17.0,"Prochlorococcus, Synechococcus",WP_011132591.1,True
PMM0970,Prochlorococcus MED4,Prochlorococcus,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,4,1.0,informative_multi,3,19.0,"Prochlorococcus, Synechococcus",WP_036930312.1,True
PMM1148,Prochlorococcus MED4,Prochlorococcus,,conserved hypothetical protein,Unknown,4,1.0,informative_single,2,20.0,"Prochlorococcus, Synechococcus",WP_011132781.1,True
PMM1629,Prochlorococcus MED4,Prochlorococcus,rpoD8,"RNA polymerase sigma factor, type II",Stress response and adaptation,4,1.0,informative_multi,3,24.0,"Prochlorococcus, Synechococcus",WP_011133256.1,True
PMT1572,Prochlorococcus MIT9313,Prochlorococcus,,hypothetical protein,Lipid metabolism,4,1.0,informative_multi,3,1.0,Prochlorococcus,WP_162009616.1,True
PMT9312_0551,Prochlorococcus MIT9312,Prochlorococcus,rbcS,"ribulose bisphosphate carboxylase, small subunit",Photosynthesis,4,1.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011376108.1,True
BL107_16040,Synechococcus sp. BL107,Synechococcus,rpoB,"DNA-directed RNA polymerase, beta subunit",Transcription,4,2.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_009790367.1,True
EZ55_02165,Alteromonas macleodii EZ55,Alteromonas,,DoxX family protein,Unknown,4,2.0,informative_multi,3,10.0,Alteromonas,WP_014949616.1,True
EZ55_03376,Alteromonas macleodii EZ55,Alteromonas,,EF-hand domain-containing protein,Unknown,4,2.0,informative_single,2,15.0,Alteromonas,WP_156086941.1,True
PMM0195,Prochlorococcus MED4,Prochlorococcus,pgk,phosphoglycerate kinase,Energy production,4,2.0,informative_multi,3,20.0,"Prochlorococcus, Synechococcus",WP_011131834.1,True
