pool,dedup_key,rep_locus_tag,rep_organism,rep_gene_name,rep_product,rep_annotation_state,rep_protein_id,freq,best_rank,og_source,og_level,n_collapsed,collapsed_members
alt,eggnog:46577@72275,DEH24_02300,Alteromonas (MarRef v6),adk,adenylate kinase,informative_multi,HBY38216.1,10,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:466IY@72275,DEH24_14130,Alteromonas (MarRef v6),cheW,chemotaxis protein CheW,informative_multi,HBY40558.1,6,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:46531@72275,DEH24_01620,Alteromonas (MarRef v6),tsaA,alkyl hydroperoxide reductase,informative_multi,HBY38081.1,4,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:463YH@72275,DEH24_07870,Alteromonas (MarRef v6),lpdA,dihydrolipoyl dehydrogenase,informative_multi,HBY39317.1,4,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:467CA@72275,EZ55_00872,Alteromonas macleodii EZ55,,organic hydroperoxide resistance protein,informative_multi,WP_014948414.1,4,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:466FN@72275,EZ55_02158,Alteromonas macleodii EZ55,yhhW,pirin family protein,informative_multi,WP_156086465.1,4,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:466Z0@72275,EZ55_02634,Alteromonas macleodii EZ55,,HvfA family oxazolone/thioamide-modified RiPP metallophore,informative_single,WP_156086632.1,4,1.0,eggnog,Alteromonadaceae,1,
alt,locus:EZ55_03523,EZ55_03523,Alteromonas macleodii EZ55,,hypothetical protein,no_evidence,WP_155279885.1,4,1.0,,,1,
alt,eggnog:466ZI@72275,EZ55_02165,Alteromonas macleodii EZ55,,DoxX family protein,informative_multi,WP_014949616.1,4,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:46CBI@72275,EZ55_03376,Alteromonas macleodii EZ55,,EF-hand domain-containing protein,informative_single,WP_156086941.1,4,2.0,eggnog,Alteromonadaceae,2,EZ55_02591
alt,eggnog:468ZJ@72275,EZ55_03398,Alteromonas macleodii EZ55,,hypothetical protein,no_evidence,WP_014977415.1,4,4.0,eggnog,Alteromonadaceae,1,
alt,eggnog:469XF@72275,EZ55_03462,Alteromonas macleodii EZ55,,sterol desaturase family protein,informative_multi,WP_014977457.1,4,7.0,eggnog,Alteromonadaceae,1,
alt,eggnog:464FV@72275,DEH24_09265,Alteromonas (MarRef v6),rne,hypothetical protein,informative_multi,HBY39595.1,3,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:464QC@72275,DEH24_13670,Alteromonas (MarRef v6),,isocitrate dehydrogenase,informative_multi,HBY40467.1,3,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:466IE@72275,EZ55_00798,Alteromonas macleodii EZ55,,spondin domain-containing protein,informative_single,WP_101563515.1,3,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:46728@72275,EZ55_01738,Alteromonas macleodii EZ55,,nuclear transport factor 2 family protein,informative_single,WP_014979105.1,3,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:464VV@72275,EZ55_02348,Alteromonas macleodii EZ55,metE,methionine synthase,informative_multi,WP_014949790.1,3,1.0,eggnog,Alteromonadaceae,3,MIT1002_02349;ACZ81_11425
alt,eggnog:464C9@72275,DEH24_11560,Alteromonas (MarRef v6),cysD,sulfate adenylyltransferase subunit CysD,informative_multi,HBY40050.1,3,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:464MQ@72275,DEH24_17975,Alteromonas (MarRef v6),,DUF1329 domain-containing protein,informative_single,HBY41322.1,3,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:467J6@72275,EZ55_01782,Alteromonas macleodii EZ55,,DUF3718 domain-containing protein,informative_single,WP_014949240.1,3,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:468SJ@72275,EZ55_02372,Alteromonas macleodii EZ55,maoP,DUF413 domain-containing protein,informative_single,WP_049587633.1,3,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:465BX@72275,DEH24_16415,Alteromonas (MarRef v6),arcA,two-component system response regulator ArcA,informative_multi,HBY41011.1,3,3.0,eggnog,Alteromonadaceae,1,
alt,eggnog:466Y8@72275,EZ55_02269,Alteromonas macleodii EZ55,azoR,FMN-dependent NADH-azoreductase,informative_multi,WP_039225536.1,3,4.0,eggnog,Alteromonadaceae,1,
alt,eggnog:466SW@72275,EZ55_02919,Alteromonas macleodii EZ55,pfpI,type 1 glutamine amidotransferase domain-containing protein,informative_multi,WP_156086738.1,3,4.0,eggnog,Alteromonadaceae,1,
alt,eggnog:464R6@72275,DEH24_15880,Alteromonas (MarRef v6),icd,NADP-dependent isocitrate dehydrogenase,informative_multi,HBY40904.1,3,5.0,eggnog,Alteromonadaceae,1,
alt,eggnog:4651K@72275,EZ55_01991,Alteromonas macleodii EZ55,yqjG,glutathione S-transferase family protein,informative_multi,WP_014979276.1,3,5.0,eggnog,Alteromonadaceae,1,
alt,eggnog:467A7@72275,EZ55_03879,Alteromonas macleodii EZ55,yceJ,cytochrome b,informative_multi,WP_156087179.1,3,6.0,eggnog,Alteromonadaceae,1,
alt,eggnog:465TX@72275,EZ55_02865,Alteromonas macleodii EZ55,,glycoside hydrolase family 97 protein,informative_multi,WP_156086703.1,3,7.0,eggnog,Alteromonadaceae,1,
alt,eggnog:1RBBN@1224,ACZ81_05680,Alteromonas macleodii HOT1A3,slyA,MarR family winged helix-turn-helix transcriptional regulator,informative_multi,WP_014948722.1,2,1.0,eggnog,Proteobacteria,1,
alt,eggnog:46B7K@72275,ACZ81_14325,Alteromonas macleodii HOT1A3,,retropepsin-like aspartic protease,informative_multi,WP_014950335.1,2,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:468HU@72275,ACZ81_16910,Alteromonas macleodii HOT1A3,ankB,ankyrin repeat domain-containing protein,informative_multi,WP_014950839.1,2,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:1NDFN@1224,ACZ81_17120,Alteromonas macleodii HOT1A3,,hypothetical protein,no_evidence,WP_061486623.1,2,1.0,eggnog,Proteobacteria,1,
alt,eggnog:46CI9@72275,ACZ81_18535,Alteromonas macleodii HOT1A3,,TonB-dependent receptor,informative_multi,WP_014951136.1,2,1.0,eggnog,Alteromonadaceae,3,EZ55_03827;MIT1002_03834
alt,eggnog:464G4@72275,DEH24_15900,Alteromonas (MarRef v6),purB,adenylosuccinate lyase,informative_multi,HBY40908.1,2,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:46CDY@72275,EZ55_01776,Alteromonas macleodii EZ55,,DUF3718 domain-containing protein,informative_single,WP_014949234.1,2,1.0,eggnog,Alteromonadaceae,2,EZ55_01777
alt,eggnog:46441@72275,EZ55_02855,Alteromonas macleodii EZ55,suxA,TonB-dependent receptor,informative_multi,WP_156086697.1,2,1.0,eggnog,Alteromonadaceae,2,ACZ81_13940
alt,eggnog:46CA4@72275,EZ55_02884,Alteromonas macleodii EZ55,,hypothetical protein,no_evidence,WP_014950289.1,2,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:46501@72275,EZ55_03067,Alteromonas macleodii EZ55,,AAA family ATPase,informative_multi,WP_156086818.1,2,1.0,eggnog,Alteromonadaceae,1,
alt,eggnog:464WI@72275,EZ55_03747,Alteromonas macleodii EZ55,,MFS transporter,informative_multi,WP_156087072.1,2,1.0,eggnog,Alteromonadaceae,2,ACZ81_18130
alt,eggnog:46D24@72275,EZ55_04249,Alteromonas macleodii EZ55,benB,aromatic-ring-hydroxylating dioxygenase subunit beta,informative_multi,WP_156087405.1,2,1.0,eggnog,Alteromonadaceae,1,
alt,locus:MIT1002_03528,MIT1002_03528,Alteromonas macleodii MIT1002,,hypothetical protein,no_evidence,WP_014977495.1,2,1.0,,,1,
alt,eggnog:464FC@72275,EZ55_01060,Alteromonas macleodii EZ55,flaA,flagellin N-terminal helical domain-containing protein,informative_multi,WP_014975883.1,2,1.0,eggnog,Alteromonadaceae,4,ACZ81_05070;ACZ81_05060;ACZ81_05065
alt,eggnog:465VF@72275,EZ55_02347,Alteromonas macleodii EZ55,,DUF1852 domain-containing protein,informative_single,WP_014949789.1,2,1.0,eggnog,Alteromonadaceae,3,ACZ81_11420;MIT1002_02348
alt,eggnog:4640T@72275,EZ55_03498,Alteromonas macleodii EZ55,actP,sodium:solute symporter family protein,informative_multi,WP_014980378.1,2,1.0,eggnog,Alteromonadaceae,2,MIT1002_03507
alt,eggnog:465DW@72275,ACZ81_08845,Alteromonas macleodii HOT1A3,ahpF,alkyl hydroperoxide reductase subunit F,informative_multi,WP_061485746.1,2,2.0,eggnog,Alteromonadaceae,2,EZ55_01815
alt,eggnog:COG1361@2,ACZ81_17215,Alteromonas macleodii HOT1A3,,FG-GAP-like repeat-containing protein,informative_multi,WP_158511557.1,2,2.0,eggnog,Bacteria,1,
alt,eggnog:464YE@72275,DEH24_14245,Alteromonas (MarRef v6),argG,argininosuccinate synthase,informative_multi,HBY40581.1,2,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:464BH@72275,DEH24_16630,Alteromonas (MarRef v6),serA,phosphoglycerate dehydrogenase,informative_multi,HBY41054.1,2,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:465EG@72275,EZ55_00205,Alteromonas macleodii EZ55,galK,galactokinase,informative_multi,WP_014947879.1,2,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:46780@72275,EZ55_01737,Alteromonas macleodii EZ55,,glutathione S-transferase family protein,informative_multi,WP_156086301.1,2,2.0,eggnog,Alteromonadaceae,2,ACZ81_08480
alt,eggnog:466I5@72275,EZ55_01828,Alteromonas macleodii EZ55,,DUF547 domain-containing protein,informative_single,WP_061485756.1,2,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:1MWDG@1224,EZ55_02117,Alteromonas macleodii EZ55,fecA,TonB-dependent receptor family protein,informative_multi,WP_020745975.1,2,2.0,eggnog,Proteobacteria,1,
alt,eggnog:46676@72275,EZ55_02929,Alteromonas macleodii EZ55,,marine proteobacterial sortase target protein,informative_multi,WP_156086745.1,2,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:1QH72@1224,EZ55_03068,Alteromonas macleodii EZ55,,hypothetical protein,informative_single,WP_014950448.1,2,2.0,eggnog,Proteobacteria,1,
alt,eggnog:4644E@72275,EZ55_03522,Alteromonas macleodii EZ55,katB,catalase,informative_multi,WP_273070703.1,2,2.0,eggnog,Alteromonadaceae,2,ACZ81_16915
alt,eggnog:466BG@72275,EZ55_04248,Alteromonas macleodii EZ55,benA,"benzoate 1,2-dioxygenase large subunit",informative_multi,WP_156087404.1,2,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:468CU@72275,MIT1002_00930,Alteromonas macleodii MIT1002,,DUF3718 domain-containing protein,informative_single,WP_014948465.1,2,2.0,eggnog,Alteromonadaceae,1,
alt,eggnog:468YY@72275,MIT1002_03521,Alteromonas macleodii MIT1002,,S8 family peptidase,informative_multi,WP_049586980.1,2,2.0,eggnog,Alteromonadaceae,3,MIT1002_03527;EZ55_03519
alt,eggnog:46433@72275,DEH24_14880,Alteromonas (MarRef v6),infB,translation initiation factor IF-2,informative_multi,HBY40706.1,2,2.0,eggnog,Alteromonadaceae,2,DEH24_14870
alt,eggnog:468I1@72275,EZ55_03499,Alteromonas macleodii EZ55,,DUF4212 domain-containing protein,informative_single,WP_014950817.1,2,2.0,eggnog,Alteromonadaceae,2,MIT1002_03508
alt,eggnog:464SN@72275,ACZ81_02025,Alteromonas macleodii HOT1A3,katA,catalase,informative_multi,WP_014975484.1,2,3.0,eggnog,Alteromonadaceae,2,EZ55_00433
alt,eggnog:467Y9@72275,ACZ81_02595,Alteromonas macleodii HOT1A3,,TA system antitoxin ParD family protein,informative_single,WP_012518669.1,2,3.0,eggnog,Alteromonadaceae,1,
alt,eggnog:465DU@72275,DEH24_12145,Alteromonas (MarRef v6),aroF,3-deoxy-7-phosphoheptulonate synthase,informative_multi,HBY40165.1,2,3.0,eggnog,Alteromonadaceae,1,
alt,eggnog:467D0@72275,EZ55_00390,Alteromonas macleodii EZ55,glnK,P-II family nitrogen regulator,informative_multi,WP_012516988.1,2,3.0,eggnog,Alteromonadaceae,2,ACZ81_01825
alt,eggnog:46D4A@72275,EZ55_01736,Alteromonas macleodii EZ55,,pyridoxamine 5^-phosphate oxidase family protein,informative_single,WP_156086300.1,2,3.0,eggnog,Alteromonadaceae,1,
alt,eggnog:46712@72275,EZ55_01810,Alteromonas macleodii EZ55,,2OG-Fe(II) oxygenase,informative_multi,WP_156086337.1,2,3.0,eggnog,Alteromonadaceae,1,
alt,eggnog:464S8@72275,EZ55_01932,Alteromonas macleodii EZ55,proA,glutamate-5-semialdehyde dehydrogenase,informative_multi,WP_061485817.1,2,3.0,eggnog,Alteromonadaceae,1,
alt,eggnog:467J0@72275,EZ55_02501,Alteromonas macleodii EZ55,gtfA,sucrose phosphorylase,informative_multi,WP_131136549.1,2,3.0,eggnog,Alteromonadaceae,1,
alt,eggnog:465SI@72275,EZ55_02876,Alteromonas macleodii EZ55,betB,betaine-aldehyde dehydrogenase,informative_multi,WP_014950281.1,2,3.0,eggnog,Alteromonadaceae,1,
alt,eggnog:1N6MB@1224,EZ55_03446,Alteromonas macleodii EZ55,,hypothetical protein,no_evidence,WP_156086949.1,2,3.0,eggnog,Proteobacteria,1,
alt,eggnog:1PA4J@1224,MIT1002_00894,Alteromonas macleodii MIT1002,,DUF3718 domain-containing protein,informative_single,WP_049589028.1,2,3.0,eggnog,Proteobacteria,1,
alt,eggnog:4652P@72275,EZ55_00391,Alteromonas macleodii EZ55,amtB,ammonium transporter,informative_multi,WP_014948004.1,2,4.0,eggnog,Alteromonadaceae,1,
